,apelido,clube_id,clube_nome,jogador_id,posicao_id,posicao_nome,status_id,status_nome,scout,rodada,pontos,preco,variacao,media
38,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",3,-0.3,3.17,-0.63,0.8
39,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",4,0.0,3.17,0.0,0.8
40,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",5,0.0,3.17,0.0,0.8
41,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",6,0.0,3.17,0.0,0.8
42,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",7,1.4,3.05,-0.12,1.0
43,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",8,0.0,3.05,0.0,1.0
44,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",9,0.0,3.05,0.0,1.0
45,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",10,0.0,3.05,0.0,1.0
46,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",11,0.0,3.05,0.0,1.0
47,Willian Maranhão,373,Atlético-GO,87262,4,Meia,6,Nulo,"{'DS': 4, 'FS': 1, 'I': 1, 'PI': 10}",12,,,,
48,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",1,0.0,10.0,0.0,0.0
49,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",2,-2.8,6.15,-3.85,-2.8
50,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",3,5.8,7.45,1.3,1.5
51,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",4,-3.1,5.41,-2.04,-0.03
52,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",5,1.5,5.86,0.45,0.35
53,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",6,0.0,5.86,0.0,0.35
54,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",7,1.1,5.51,-0.35,0.5
55,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",8,-2.1,4.79,-0.72,0.07
56,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",9,1.6,5.31,0.52,0.29
57,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",10,8.4,6.8,1.49,1.3
58,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",11,0.0,6.8,0.0,1.3
59,Santos,293,Athlético-PR,69012,1,Goleiro,7,Provável,"{'DD': 7, 'GS': 9, 'PI': 46, 'SG': 1}",12,,,,
60,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",1,0.0,8.0,0.0,0.0
61,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",2,-0.9,5.52,-2.48,-0.9
62,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",3,0.0,5.52,0.0,-0.9
63,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",4,0.0,5.52,0.0,-0.9
64,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",5,0.0,5.52,0.0,-0.9
65,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",6,7.3,6.32,0.8,3.2
66,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",7,0.0,6.32,0.0,3.2
67,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",8,1.7,5.58,-0.74,2.7
68,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",9,0.1,5.24,-0.34,2.05
69,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",10,1.6,5.46,0.22,1.96
70,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",11,0.0,5.46,0.0,1.96
71,Gustavo Henrique,262,Flamengo,78248,3,Zagueiro,7,Provável,"{'DS': 5, 'FC': 3, 'FF': 2, 'FS': 2, 'PI': 13, 'SG': 1}",12,,,,
72,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",1,9.8,12.9,4.9,9.8
73,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",2,6.0,15.1,2.2,7.9
74,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",3,1.9,14.17,-0.93,5.9
75,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",4,1.8,13.72,-0.45,4.88
76,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",5,0.3,12.95,-0.77,3.96
77,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",6,0.0,12.95,0.0,3.96
78,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",7,2.1,12.51,-0.44,3.65
79,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",8,4.3,13.03,0.52,3.74
80,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",9,4.2,13.09,0.06,3.8
81,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",10,0.0,13.09,0.0,3.8
82,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",11,0.0,13.09,0.0,3.8
83,Léo Cittadini,293,Athlético-PR,70986,4,Meia,7,Provável,"{'CA': 1, 'DS': 15, 'FC': 12, 'FD': 1, 'FF': 12, 'FS': 15, 'G': 1, 'PI': 29}",12,,,,
84,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",1,0.0,4.0,0.0,0.0
85,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",2,6.6,5.89,1.89,6.6
86,Gilvan,373,Atlético-GO,82773,3,Zagueiro,6,Nulo,"{'CA': 1, 'DS': 10, 'FC': 9, 'FF': 1, 'FS': 5, 'G': 1, 'PI': 11, 'SG': 2}",3,0.8,5.25,-0.64,3.7
